htitem_id,Author,Title,Year (json)
hvd.hntdup,Österling Anders,Hälsningar,1907
nyp.33433075867295,Roos Mathilda,Hvit ljung,1907
uc1.b4770337,Söderberg Hjalmar,Skrifter,1907
StrindbergA.TaklagsolSyndabocken,Strindberg August,Taklagsöl & Syndabocken,1907
umn.31951001191160h,Strindberg August,Svarta fanor,1907
hvd.hwjnuf,Berger Henning,Syndafloden,1908
umn.31951001068915g,Elkan Sophie,Från östan och västan,1908
wu.89098577182,Heidenstam  Verner von,Svenskarna och deras hövdingar,1908
KampeA.Konflikt,Kämpe Alfred,Konflikt,1908
hvd.hntdrn,Malmberg Bertil,Bränder,1908
jaochnej,Nyblom Helena,Ja och nej,1908
hvd.hntduk,Österling Anders,Döden inkognito,1908
uc1.c042571849,Wägner Elin,Norrtullsligan,1908
uc1.$b480145,Berger Henning,Drömlandet,1909
uc1.$b480149,Berger Henning,Aska,1909
BergmanHj.Savonarola,Bergman Hjalmar,Savonarola,1909
KampeA.Torpare,Kämpe Alfred,Torpare,1909
wu.89098578750,Nordström Ludvig,Borgare,1909
SandelM.FamiljenVinge1909,Sandel Maria,Familjen Vinge. En roman om verkstadsgossar och fabriksflickor,1909
uc1.$b136000,Siwertz Sigfrid,De gamla,1909
uc1.$b480150,Berger Henning,Bendel & Co,1910
BergmanHj.Amourer,Bergman Hjalmar,Amourer,1910
coo.31924026334668,Fröding Gustaf,Efterskörd I: Vers,1910
coo.31924026334676,Fröding Gustaf,Efterskörd II: Prosa,1910
wu.89098577190,Heidenstam  Verner von,Svenskarna och deras hövdingar,1910
uc1.$b479442,Hellström Gustaf,Kuskar,1910
uc1.$b472157,Janson Gustaf,Affären Costa Negra,1910
uc1.c042571830,Wägner Elin,Pennskaftet,1910
uc1.$b136673,Berger Henning,Fata Morgana,1911
wu.89099911703,Berger Henning,Paus,1911
njp.32101065644138,Elgström Anna Lenah,Gäster och främlingar,1911
KampeA.Vinddrivna,Kämpe Alfred,Vinddrivna,1911
coo.31924026328744,Lagerlöf Selma,Liljecronas hem,1911
LundegardA.DenStoraDagen,Lundegård Axel,Den stora dagen,1911
uc1.$b135994,Siwertz Sigfrid,Hamn och hav,1911
umn.319510011174873,Siwertz Sigfrid,Mälarpirater,1911
mdp.39015030002839,Berger Henning,Dubbelgångaren och andra berättelser,1912
BergmanHj.ViBookarKrokarochRothar,Bergman Hjalmar,Vi Bookar Krokar och Rothar,1912
mdp.39015030065158,Elgström Anna Lenah,Havsboken,1912
umn.31951001063232x,Elgström Anna Lenah,Fattigfolk,1912
KampeA.Segrare,Kämpe Alfred,Segrare,1912
KochM.Arbetare,Koch Martin,Arbetare,1912
uc1.b4772195,Lagerkvist Pär,Människor,1912
njp.32101073390864,Lagerlöf Selma,Körkarlen,1912
umn.31951d00223409g,Siwertz Sigfrid,Ämbetsmän på äventyr,1912
chi.090510176,Söderberg Hjalmar,Den allvarsamma leken,1912
SoderbergH.Aftonstjarnan,Söderberg Hjalmar,Aftonstjärnan,1912
uc1.$b136668,Berger Henning,Ur larmet,1913
chi.088384535,Bergman Hjalmar,Loewenhistorier,1913
umn.31951p010211127,Hedenvind-Eriksson Gustav,Från öde gårdar,1913
KampeA.Fullblod,Kämpe Alfred,Fullblod,1913
kochvalda-3,Koch Martin,Timmerdalen,1913
njp.32101073390716,Lagerlöf Selma,Tösen från Stormyrtorpet och andra sagor,1913
wu.89103202149,Österling Anders,Facklor i stormen,1913
SandelM.Virveln,Sandel Maria,Virveln,1913
wu.89103317822,Söderberg Hjalmar,Den talangfulla draken,1913
umn.31951001082093e,Wägner Elin,Helga Wisbeck,1913
AnderssonD.Kolarhistorier,Andersson Dan,Kolarhistorier,1914
uc1.$b136674,Berger Henning,Films,1914
wu.89098576887,Lagerlöf Selma,Kejsarn av Portugallien,1914
uc1.b4145291,Siwertz Sigfrid,En flanör,1914
AnderssonD.KolvaktarensVisor,Andersson Dan,Kolvaktarens visor,1915
uc1.$b480147,Berger Henning,Hörnfeldt,1915
uc1.$b136641,Didring Ernst,Bergets sång,1915
njp.32101065644187,Heidenstam  Verner von,Nya dikter,1915
umn.31951001099940u,Lagerkvist Pär,Järn och människor,1915
uc1.$b473029,Wägner Elin,Camillas äktenskap,1915
AnderssonD.DetKallasVidskepelse,Andersson Dan,Det kallas vidskepelse,1916
uc1.$b480152,Berger Henning,Gulaschbaronerna,1916
kmarknad,Bergman Hjalmar,Komedier i Bergslagen: Knutsmässo marknad,1916
KochM.GudsVackraVarldI,Koch Martin,Guds vackra värld,1916
