Filename,HTID,Author,Title,Year
hvd_hny9p7.json,hvd.hny9p7,Heinrich Laube,Reisenovellen,1834
hvd_hny9nz.json,hvd.hny9nz,Heinrich Laube,Monaldeschi,1845
wu_89099042863.json,wu.89099042863,Heinrich Laube,Die Böhminger,1880
uc1_$b154084.json,uc1.$b154084,Heinrich Laube,Struensee,1847
uc1_$b154083.json,uc1.$b154083,Heinrich Laube,Der Stallhalter Von Bengalen,1868
uc1_31175005023984.json,uc1.31175005023984,Heinrich Laube,Neue Reisennovellen,1837
uc1_$b257303.json,uc1.$b257303,Theodor Mundt,Thomas Müntzer,1841
hvd_hny5eq.json,hvd.hny5eq,Theodor Mundt,Die Matadore,1850
ucw_ark+=13960=t9c53qh2x.json,ucw.ark:/13960/t9c53qh2x,Georg Büchner,Wozzeck Und Lenz; Zwei Fragmente,1837
wu_89099043069.json,wu.89099043069,Theodor Fontane,Unwiederbringlich,1892
mdp_39015064530234.json,mdp.39015064530234,Theodor Fontane,Graf Petöfy,1884
hvd_hn2e2y.json,hvd.hn2e2y,Theodor Fontane,Stine,1890
coo_31924026174395.json,coo.31924026174395,Theodor Fontane,Vor Der Sturm,1878
wu_89099034951.json,wu.89099034951,Theodor Fontane,Ellernklipp,1881
wu_89099043077.json,wu.89099043077,Theodor Fontane,Unterm Birnbaum,1885
uiuo_ark+=13960=t2g73q85x.json,uiuo.ark:/13960/t2g73q85x,Theodor Fontane,Cöcile,1887
mdp_39015064532636.json,mdp.39015064532636,Theodor Fontane,Grete Minde,1880
uva_x030809699.json,uva.x030809699,Gustav Freytag,Die Verlorene Handschrift,1864
nnc1_0114909413.json,nnc1.0114909413,Gustav Freytag,Die Ahnen: 3. Abtheilung; Die Brüder Vom Deutschen Haus,1874
wu_89100609718.json,wu.89100609718,Gustav Freytag,"Die Brautfahrt; Oder, Kunz Von Der Rose",1840
mdp_39015050667909.json,mdp.39015050667909,Gustav Freytag,Soll Und Haben,1855
wu_89038318846.json,wu.89038318846,Gustav Freytag,Die Ahnen: 6. Abtheilung; Aus Einer Kleinen Stadt,1880
nyp_33433075738348.json,nyp.33433075738348,Gustav Freytag,Die Ahnen: 2. Abtheilung; Das Nest Der Zaunkönige,1873
umn_31951001989604p.json,umn.31951001989604p,Gustav Freytag,Die Ahnen: 1. Abtheilung; Ingo Und Ingraban,1872
pst_000020570019.json,pst.000020570019,Gustav Freytag,Die Ahnen: 5. Abtheilung; Die Geschwister,1878
hvd_32044102865615.json,hvd.32044102865615,Gustav Freytag,Die Journalisten,1852
nyp_33433001014863.json,nyp.33433001014863,Gustav Freytag,Graf Waldemar,1850
hvd_hwew9w.json,hvd.hwew9w,Gustav Freytag,Die Ahnen: 4. Abtheilung; Marcu König,1876
njp_32101068645884.json,njp.32101068645884,Wilhelm Raabe,Alte Neste,1879
wu_89006686463.json,wu.89006686463,Wilhelm Raabe,Eulenpfingsten,1875
wu_89067093484.json,wu.89067093484,Wilhelm Raabe,Die Kinder Von Finkenrode,1859
wu_89006686372.json,wu.89006686372,Wilhelm Raabe,"Halb Mör, Halb Mehr",1907
hvd_hn5ydv.json,hvd.hn5ydv,Wilhelm Raabe,Der Heilige Born,1861
wu_89006686505.json,wu.89006686505,Wilhelm Raabe,Der Dröumling,1872
njp_32101069152351.json,njp.32101069152351,Wilhelm Raabe,Die Gönse Von Bützow,1866
wu_89006686141.json,wu.89006686141,Wilhelm Raabe,Des Reiches Krone,1870
uc1_$b614811.json,uc1.$b614811,Wilhelm Raabe,"Die Leute Aus Dem Walde, Ihre Sterne, Wege Und Schicksal",1863
uc1_$b614812.json,uc1.$b614812,Wilhelm Raabe,Regenbogen,1890
coo_31924026306534.json,coo.31924026306534,Wilhelm Raabe,Die Schüdderump,1870
uc1_$b158486.json,uc1.$b158486,Wilhelm Raabe,Der Hungerpastor,1864
uva_x030805550.json,uva.x030805550,Wilhelm Raabe,Christoph Pechlin,1873
inu_30000118577794.json,inu.30000118577794,Wilhelm Raabe,Wunnigel,1879
