htid,author,title,year
mdp.39015063542354,"Bede, Cuthbert,",The further adventures of Mr. Verdant Green,1870
mdp.39015063542503?,"Aumonier, Stacy", Just Outside,1917
mdp.39015063550514,"Gaskell, Elizabeth Cleghorn,",Cranford,1853
mdp.39015063581543,"Buchanan, Robert Williams,",The shadow of the sword,1876
mdp.39015063640331,"Wordsworth, William,",Lyrical ballads,1798
mdp.39015063748696,"Black, William", The Strange Adventures of a Houseboat,1888
mdp.39015063754017,"Austin, Alfred", Interludes,1872
mdp.39015063913589,"Caine, Hall,",The bondman,1890
mdp.39015063913647,"Caine, Hall,",The deemster,1887
mdp.39015063920659,"Johnson, Samuel,",History of Rasselas,1759
mdp.39015063924750,"Pickering, Ellen", The Heiress,1834
mdp.39015063928496,"Disraeli, Benjamin,",Lothair,1870
mdp.39015063935137,"Marsh, Richard", The deacon's daughter,1919
mdp.39015063938362,Margaret Hungerford,Molly Bawn,1878
mdp.39015063938818,"Locke, William J", The morals of Marcus Ordeyne,1906
mdp.39015063938834,"Locke, William J", The belov?ed vagabond,1911
mdp.39015063950276,"Radcliffe, Ann Ward,",The romance of the forest,1791
mdp.39015063951191,"Scott, Walter,",Castle Dangerous,1831
mdp.39015063953163,"Von Arnim, Elizabeth", The Benefactress,1902
mdp.39015065553391,"Hall-Stevenson, John"," Fables for Grown Gentlemen (1761), and Crazy Tales (1762)",1762
mdp.39015065570718,"Wordsworth, William,",The white doe of Rylstone,1815
mdp.39015066060529,Virginia Woolf,The Voyage Out,1915
mdp.39015066064406,"Wodehouse, PG", Uneasy Money,1920
mdp.39015066068613,"Conrad, Joseph", The Secret Agent,1916
mdp.39015068350910,"Fielding, Sarah", The History of Ophelia,1761
mdp.39015078548396,"Defoe, Daniel,","The life, and strange surprizing adventures of Robinson Crusoe, of York, mariner",1720
mdp.39015078565911,"Swift, Jonathan,",Gulliver's travels,1726
mdp.39015088642429,Rudyard Kipling,Puck of Pook's Hill,1906
mdp.39076002621501,"Dickens, Charles,",A Christmas carol in prose,1843
mdp.39076006199025,"Defoe, Daniel,","The life, adventures, and pyracies, of the famous Captain Singleton",1720
mdp.39076006206242,"Burney, Fanny,",Evelina,1778
mdp.49015000981952,"Disraeli, Benjamin,",Coningsby,1844
mdp.49015001001198,"Sabatini, Rafael", Mistress Wilding: a romance,1910
mdp.49015001286286,"BrontÌÎ_‰Û¡ÌÝ_, Emily,",Wuthering Heights,1847
mdp.49015001344473,DH Lawrence,Sons and Lovers,1913
nc01.ark+=13960=t9p27q803,"Leverson, Ada Esther", Love's Shadow,1908
njp.32101004412126,"Lamb, Lady Caroline", Ada Reis,1823
njp.32101007065806,"Brunton, Mary", Emmeline with some other pieces,1819
njp.32101019194933,"Richardson, Samuel,","Clarissa, or, The history of a young lady",1747
njp.32101028029252,"Maugham, William Somerset", The Explorer,1907
njp.32101031804766,"Carswell, Catherine", Open the Door!,1920
njp.32101036893103,Samuel Richardson,"The London merchant; or, The history of George Barnwell",1748
njp.32101036894374,"Wollstonecraft, Mary", Mary & The Wrongs of Woman (2 in 1),1798
njp.32101037020839,"Owen, Wilfred", Poems,1920
njp.32101037603717,"Congreve, William,",The way of the world,1700
njp.32101037604582,"Farquhar, George,",The beaux stratagem,1707
njp.32101037989959,"Nares, Edward", Thinks I to Myself,1812
njp.32101063580557,"Howard, Edward"," Sir Henry Morgan, the buccaneer",1842
njp.32101063605701,"Vivanti, Annie", The Devourers,1910
njp.32101064791252,John Millington Synge,Playboy of the Western World,1907
njp.32101065605725,"Yates, Edmund", The Impending Sword,1875
njp.32101065712935,"Jones, Hannah Maria", The Forged Note,1824
njp.32101065863670,"Manning, Anne", Village Belles,1833
njp.32101066457019,"Cobbold, Elizabeth"," Poems, with a memoir of the author [ed. Laetitia Jermyn]",1825
njp.32101066458959,"Gibbon, Charles", By Mead and Stream,1884
njp.32101066477686,"Balfour, Frederic Henry (Writing as Ross George Dering )", Giraldi,1889
njp.32101067173409,"Scott, Walter,",The antiquary,1816
njp.32101067173466,"Scott, Walter,",The heart of Midlothian,1818
njp.32101067173524,"Scott, Walter,",Kenilworth,1821
njp.32101067178242,William Makepeace Thackeray,A Shabby Genteel Story,1840
njp.32101067487007,"Walpole, Horace,",The castle of Otranto;,1764
njp.32101067633139,"Dillwyn, Elizabeth Amy", Jill,1884
njp.32101067634244,"Hannay, James", Eustace Conyers,1855
njp.32101067644748,"Fogerty, Joseph", Caterina,1877
njp.32101067706943,"Black, William", Works,1883
njp.32101068138369,"Blake, William,",Jerusalem,1804
njp.32101068168101,"Crommelin, May", Joy,1884
njp.32101068170859,"Howard, Edward", Rattlin the Reefer,1836
njp.32101068170867,"Howard, Edward", Outward Bound or a Merchant's Adventures,1838
njp.32101068574464,"Lawrence, D. H.","The Prussian officer, and other stories",1914
njp.32101068580941,"Arnold, Matthew,",The scholar gipsy,1853
njp.32101068581576,"Collins, Wilkie,",The woman in white,1859
njp.32101068582087,"Byron, George Gordon Byron,",The vision of judgment,1822
njp.32101068598174,"Firbank, Ronald,",Caprice,1917
njp.32101068598638,"Gissing, George,",The odd women,1893
njp.32101068601168,"Peacock, Thomas Love,",The misfortunes of Elphin,1829
njp.32101068605920,HG Wells,History of Mr. Polly,1910
njp.32101072666785,"Swinburne, Algernon Charles,",Poems and ballads,1866
njp.32101072759440,"Scott, Walter,",The bride of Lammermoor,1819
njp.32101072759879,"Scott, Walter,",The talisman,1825
njp.32101076058054,Henry Fielding,Amelia,1751
njp.32101076781010,"Burney, Fanny,",Cecilia,1782
nnc1.0043378153,"Maturin, Charles Robert,",The Milesian chief. A romance,1812
nnc1.50200885,"Scott, Walter,",Old mortality,1816
nnc1.ar62810391,"Blake, William,",Facsimile of what is believed to be the last replica of the songs of innocence and of experience,1794
nnc1.cu54880670,"Gissing, George,",Denzil Quarrier,1892
nyp.33433034410211,"Corelli, Marie"," Vendetta! or, The Story of One Forgotten",1887
