Filename,HTID,Author,Title,Year,Region,Rights,OCLC
mdp_39015063945276.json,mdp.39015063945276,Meigs Cornelia,The Windy Hill,1921,midwest,1,8743401
mdp_39015063945425.json,mdp.39015063945425,Meigs Cornelia,Clearing Weather,1928,midwest,1,9434397
mdp_39015063947629.json,mdp.39015063947629,Paulding James Kirke,"The Dutchman'S Fireside. A Tale. By The Author Of ""Letters From The South.""",1837,northeast,1,7295120
mdp_39015063948627.json,mdp.39015063948627,Reed Myrtle,Old Rose And Silver,1909,midwest,1,7472339
mdp_39015065528930.json,mdp.39015065528930,Alcott Louisa May,"Jo'S Boys: And How They Turned Out. A Sequel To ""Little Men""",1886,newengland,1,302965
mdp_39015065779426.json,mdp.39015065779426,Tarkington Booth,Monsieur Beaucaire,1900,midwest,1,175004
mdp_39015065985627.json,mdp.39015065985627,London Jack,Burning Daylight,1910,west,1,288552
mdp_39015066034508.json,mdp.39015066034508,Dunbar Paul Laurence,The Sport Of The Gods,1902,midwest,1,728951
mdp_39015066053193.json,mdp.39015066053193,Anderson Sherwood,Many Marriages,1923,midwest,1,1135265
mdp_39015066056790.json,mdp.39015066056790,Melville Herman,Mardi And A Voyage Thither,1923,northeast,1,1197996
mdp_39015066058895.json,mdp.39015066058895,London Jack,The Little Lady Of The Big House,1916,west,1,2545227
mdp_39015066065213.json,mdp.39015066065213,Wallace Lew,Ben Hur: A Tale Of The Christ,1880,midwest,1,2555523
mdp_39015082528186.json,mdp.39015082528186,Baum L. Frank,Queen Zixi Of Ix Or The Story Of The Magic Cloak,1905,northeast,1,1336819
mdp_39015089250479.json,mdp.39015089250479,Twain Mark,The Prince And The Pauper: A Tale For Young People Of All Ages,1881,midwest,1,5911724
mdp_39076002266109.json,mdp.39076002266109,Moore Anne Carroll,Nicholas: A Manhatton Christmas Story;,1924,newengland,2,509550
mdp_39076002287394.json,mdp.39076002287394,Marshall Bernard Gay,Cedric The Forester,1921,newengland,1,5369651
mdp_39076002619505.json,mdp.39076002619505,Hewes Agnes Danforth,Spice And The Devil'S Cave,1930,northeast,1,654273
mdp_49015000530817.json,mdp.49015000530817,Howells William Dean,Dr. Breen'S Practice A Novel,1881,midwest,1,3547320
mdp_49015000530924.json,mdp.49015000530924,Howells William Dean,The Lady Of The Aroostook,1879,midwest,1,761119
mdp_49015000550633.json,mdp.49015000550633,Tarkington Booth,Seventeen,1916,midwest,1,2067847
mdp_49015000668443.json,mdp.49015000668443,Curwood James Oliver,Baree: Son Of Kazan,1917,midwest,1,1709632
mdp_49015001017970.json,mdp.49015001017970,Stein Gertrude,Three Lives,1936,west,1,422352
miun_aan6033_0001_001.json,miun.aan6033.0001.001,Taylor Bayard,Joseph And His Friend: A Story Of Pennsylvania,1870,northeast,1,1345253
miun_aan6165_0001_001.json,miun.aan6165.0001.001,Alcott Louisa May,Work: A Story Of Experience,1873,newengland,1,13630139
miun_aan7754_0001_001.json,miun.aan7754.0001.001,Cooper James Fenimore,The Deerslayer: Or The First War-Path. A Tale,1854,northeast,1,702617014
miun_aax2249_0001_001.json,miun.aax2249.0001.001,Rush Caroline E.,The North And South: Or Slavery And Its Contrasts. A Tale Of Real Life,1852,northeast,1,3731745
miun_abb0914_0001_001.json,miun.abb0914.0001.001,Hale Sarah Josepha Buell,Liberia: Or Mr. Peyton'S Experiments,1853,newengland,1,5222416
miun_abf2812_0001_001.json,miun.abf2812.0001.001,Criswell Robert,Uncle Tom'S Cabin Contrasted With Buckingham Hall The Planter'S Home: Or A Fair View Of Both Sides Of The Slavery Question,1852,northeast,1,5902437
miun_abt6782_0001_001.json,miun.abt6782.0001.001,Jacobs Harriet A.,Incidents In The Life Of A Slave Girl. Written,1861,south,1,50847561
miun_abx8882_0001_001.json,miun.abx8882.0001.001,Hay John,Pike County Ballads And Other Pieces,1871,midwest,1,227385387
miun_acm5949_0001_001.json,miun.acm5949.0001.001,Brown Charles Brockden,Wieland; Or The Transformation Together With Memoirs Of Carwin The Biloquist A Fragment,1926,northeast,1,272254
miun_aea7901_0001_001.json,miun.aea7901.0001.001,Cary Alice,The Poems Of Alice And Phoebe Cary,1850,midwest,1,560137
miun_afw5183_0001_001.json,miun.afw5183.0001.001,Eggleston Edward,The End Of The World. A Love Story. With Thirty-Two Illustrations,1872,midwest,1,
msu_31293105046761.json,msu.31293105046761,Johnson Owen,Stover At Yale,1912,newengland,1,7868400
nc01_ark+=13960=t08w4fr9b.json,nc01.ark:/13960/t08w4fr9b,Alcott Louisa May,Under The Lilacs,1878,newengland,1,297018
nc01_ark+=13960=t09w1fx2c.json,nc01.ark:/13960/t09w1fx2c,Alcott Louisa May,Little Men: Life At Plumfield With Jo'S Boys,1871,newengland,1,634069
nc01_ark+=13960=t1mg8tc68.json,nc01.ark:/13960/t1mg8tc68,Evans Augusta J.,St. Elmo: A Novel,1867,south,1,1699587
nc01_ark+=13960=t3418369h.json,nc01.ark:/13960/t3418369h,Chopin Kate,The Awakening,1899,midwest,9,1420631
nc01_ark+=13960=t3613s25s.json,nc01.ark:/13960/t3613s25s,Frederic Harold,In The Valley: A Novel,1891,northeast,9,5238089
nc01_ark+=13960=t3mw2v80v.json,nc01.ark:/13960/t3mw2v80v,De Forest John William,Miss Ravenel'S Conversion From Secession To Loyalty,1867,newengland,1,1634478
nc01_ark+=13960=t3st8380w.json,nc01.ark:/13960/t3st8380w,Boyd Thomas,Through The Wheat,1923,midwest,9,951438
nc01_ark+=13960=t4rj5jn27.json,nc01.ark:/13960/t4rj5jn27,Porter Eleanor H.,Pollyanna,1913,newengland,1,5203384
